Tc,t_nom_yr,t_hi_yr,t_lo_yr
0.00,3.326e+19,8.172e+21,1.354e+17
2.10,2.134e+19,5.026e+21,9.059e+16
4.20,1.378e+19,3.115e+21,6.098e+16
6.30,8.959e+18,1.944e+21,4.129e+16
8.40,5.862e+18,1.222e+21,2.812e+16
10.50,3.859e+18,7.733e+20,1.926e+16
12.61,2.557e+18,4.927e+20,1.327e+16
14.71,1.704e+18,3.160e+20,9.188e+15
16.81,1.142e+18,2.040e+20,6.397e+15
18.91,7.702e+17,1.325e+20,4.477e+15
21.01,5.222e+17,8.659e+19,3.149e+15
23.11,3.561e+17,5.694e+19,2.227e+15
25.21,2.441e+17,3.766e+19,1.582e+15
27.31,1.682e+17,2.505e+19,1.129e+15
29.41,1.165e+17,1.676e+19,8.098e+14
31.51,8.112e+16,1.128e+19,5.835e+14
33.61,5.676e+16,7.628e+18,4.223e+14
35.71,3.990e+16,5.187e+18,3.070e+14
37.82,2.819e+16,3.546e+18,2.241e+14
39.92,2.001e+16,2.436e+18,1.643e+14
42.02,1.426e+16,1.682e+18,1.209e+14
44.12,1.022e+16,1.167e+18,8.940e+13
46.22,7.349e+15,8.140e+17,6.635e+13
48.32,5.309e+15,5.703e+17,4.943e+13
50.42,3.852e+15,4.014e+17,3.697e+13
52.52,2.806e+15,2.838e+17,2.775e+13
54.62,2.053e+15,2.015e+17,2.091e+13
56.72,1.507e+15,1.437e+17,1.581e+13
58.82,1.111e+15,1.030e+17,1.200e+13
60.92,8.226e+14,7.406e+16,9.136e+12
63.03,6.111e+14,5.349e+16,6.981e+12
65.13,4.556e+14,3.879e+16,5.352e+12
67.23,3.410e+14,2.825e+16,4.116e+12
69.33,2.561e+14,2.065e+16,3.176e+12
71.43,1.930e+14,1.515e+16,2.459e+12
73.53,1.459e+14,1.116e+16,1.909e+12
75.63,1.107e+14,8.247e+15,1.487e+12
77.73,8.431e+13,6.119e+15,1.162e+12
79.83,6.439e+13,4.556e+15,9.101e+11
81.93,4.934e+13,3.404e+15,7.151e+11
84.03,3.792e+13,2.552e+15,5.635e+11
86.13,2.924e+13,1.920e+15,4.453e+11
88.24,2.261e+13,1.449e+15,3.528e+11
90.34,1.754e+13,1.097e+15,2.803e+11
92.44,1.364e+13,8.333e+14,2.233e+11
94.54,1.064e+13,6.349e+14,1.783e+11
96.64,8.325e+12,4.853e+14,1.428e+11
98.74,6.531e+12,3.721e+14,1.146e+11
100.84,5.137e+12,2.861e+14,9.224e+10
102.94,4.052e+12,2.207e+14,7.441e+10
105.04,3.205e+12,1.707e+14,6.016e+10
107.14,2.541e+12,1.324e+14,4.876e+10
109.24,2.020e+12,1.030e+14,3.961e+10
111.34,1.610e+12,8.032e+13,3.225e+10
113.45,1.286e+12,6.282e+13,2.632e+10
115.55,1.030e+12,4.926e+13,2.153e+10
117.65,8.266e+11,3.873e+13,1.764e+10
119.75,6.651e+11,3.053e+13,1.449e+10
121.85,5.364e+11,2.412e+13,1.193e+10
123.95,4.336e+11,1.911e+13,9.836e+09
126.05,3.512e+11,1.518e+13,8.129e+09
128.15,2.852e+11,1.208e+13,6.732e+09
130.25,2.320e+11,9.641e+12,5.585e+09
132.35,1.892e+11,7.711e+12,4.643e+09
134.45,1.546e+11,6.182e+12,3.867e+09
136.55,1.266e+11,4.967e+12,3.227e+09
138.66,1.039e+11,4.000e+12,2.698e+09
140.76,8.541e+10,3.228e+12,2.260e+09
142.86,7.036e+10,2.611e+12,1.896e+09
144.96,5.807e+10,2.116e+12,1.594e+09
147.06,4.802e+10,1.719e+12,1.342e+09
149.16,3.979e+10,1.399e+12,1.132e+09
151.26,3.303e+10,1.141e+12,9.560e+08
153.36,2.747e+10,9.325e+11,8.090e+08
155.46,2.288e+10,7.636e+11,6.858e+08
157.56,1.910e+10,6.265e+11,5.822e+08
159.66,1.597e+10,5.150e+11,4.951e+08
161.76,1.337e+10,4.241e+11,4.217e+08
163.87,1.122e+10,3.499e+11,3.597e+08
165.97,9.428e+09,2.893e+11,3.073e+08
168.07,7.936e+09,2.396e+11,2.629e+08
170.17,6.691e+09,1.987e+11,2.253e+08
172.27,5.650e+09,1.652e+11,1.933e+08
174.37,4.779e+09,1.375e+11,1.661e+08
176.47,4.049e+09,1.147e+11,1.429e+08
178.57,3.435e+09,9.580e+10,1.232e+08
180.67,2.919e+09,8.016e+10,1.063e+08
182.77,2.484e+09,6.718e+10,9.185e+07
184.87,2.117e+09,5.640e+10,7.948e+07
186.97,1.807e+09,4.742e+10,6.886e+07
189.08,1.545e+09,3.994e+10,5.974e+07
191.18,1.322e+09,3.368e+10,5.189e+07
193.28,1.133e+09,2.846e+10,4.513e+07
195.38,9.728e+08,2.407e+10,3.931e+07
197.48,8.361e+08,2.040e+10,3.427e+07
199.58,7.196e+08,1.731e+10,2.992e+07
201.68,6.202e+08,1.471e+10,2.615e+07
203.78,5.352e+08,1.252e+10,2.288e+07
205.88,4.625e+08,1.067e+10,2.005e+07
207.98,4.001e+08,9.104e+09,1.758e+07
210.08,3.466e+08,7.780e+09,1.544e+07
212.18,3.006e+08,6.658e+09,1.357e+07
214.29,2.611e+08,5.705e+09,1.195e+07
216.39,2.270e+08,4.895e+09,1.053e+07
218.49,1.976e+08,4.205e+09,9.283e+06
220.59,1.722e+08,3.618e+09,8.197e+06
222.69,1.503e+08,3.116e+09,7.245e+06
224.79,1.313e+08,2.688e+09,6.410e+06
226.89,1.148e+08,2.321e+09,5.678e+06
228.99,1.005e+08,2.007e+09,5.034e+06
231.09,8.809e+07,1.737e+09,4.468e+06
233.19,7.729e+07,1.505e+09,3.969e+06
235.29,6.789e+07,1.306e+09,3.529e+06
237.39,5.970e+07,1.135e+09,3.141e+06
239.50,5.255e+07,9.868e+08,2.799e+06
241.60,4.631e+07,8.592e+08,2.496e+06
243.70,4.085e+07,7.490e+08,2.228e+06
245.80,3.607e+07,6.536e+08,1.991e+06
